de-fra-wg-002	s1c/NsfnqnwQSxao70DY4Co69AFT9e0h88IFuMD5mjs	185.213.155.74:51820
de-fra-wg-003	vVQKs2TeTbdAvl3sH16UWLSESncXAj0oBaNuFIUkLVk	185.209.196.73:51820
de-fra-wg-004	tzYLWgBdwrbbBCXYHRSoYIho4dHtrm+8bdONU1I8xzc	185.209.196.74:51820
de-fra-wg-005	tpobOO6t18CzHjOg0S3RlZJMxd2tz4+BnRYS7NrjTnM	185.209.196.75:51820
de-fra-wg-006	nAF0wrLG2+avwQfqxnXhBGPUBCvc3QCqWKH4nK5PfEU	185.209.196.76:51820
de-fra-wg-007	mTmrSuXmTnIC9l2Ur3/QgodGrVEhhIE3pRwOHZpiYys	185.209.196.77:51820
de-fra-wg-008	+DuVLLPwGNlfZFoI24PRPdaTrO4i+WPDlYaOVcavHDo	185.209.196.78:51820
de-fra-wg-009	flq7zR8W5FxouHBuZoTRHY0A0qFEMQZF5uAgV4+sHVw	185.213.155.72:51820
de-fra-wg-101	wxbDlI3xb+Cc05XKb4usdKSzKe1byK7brmsHU2DJB14	146.70.117.2:51820
de-fra-wg-102	inG8qBhgEFhcs2EZsT9PezeWBI6+9p8tXeo0BojhpBQ	146.70.117.130:51820
de-fra-wg-103	V7g+GpphZny5CWgDdClejTQX3ImrYFRh+CVETeOWRBU	135.136.19.2:51820
de-fra-wg-104	WPaUZB1eO0W/F4GMDk8uVgqQfS5q4P9F53/pbLmlDjs	135.136.19.130:51820
de-fra-wg-301	dNKRyh2MkJGZdg9jyUJtf9w5GHjX3+/fYatg+xi9TUM	194.36.25.3:51820
de-fra-wg-303	2P+9SjwVCEnMDnBiYfZtQLq9p2S2TFhCM0xJBoevYk4	194.36.25.33:51820
de-fra-wg-401	AbM8fnQWmmX6Nv0Tz68LigPbGkamJgNjxgzPfENOdXU	169.150.201.2:51820
de-fra-wg-402	6/PBbPtoeWpJA+HZc9Iqg/PPQWD7mGVvZdwQlr1vtRk	169.150.201.15:51820
de-fra-wg-403	HWzSNMbQOQafkVp68B7aLRirhNJ6x5Wjw8/y7oUuHW0	169.150.201.28:51820
dk-cph-wg-001	egl+0TkpFU39F5O6r6+hIBMPQLOa8/t5CymOZV6CC3Y	45.129.56.67:51820
dk-cph-wg-102	oFSh/6OxGDc8LY+kCj9SNebPphDGM9UIeln0cseILxs	149.88.109.73:51820
dk-cph-wg-401	Jjml2TSqKlgzW6UzPiJszaun743QYpyl5jQk8UOQYg0	146.70.197.194:51820
